idnum,id,label
180000001,MedicalSignOrSymptom,Medical Sign or Symptom,Sympton
180000002,ShoppingCenter,Shopping Center
180000003,LeaveAction,Leave Action
180000004,TieAction,Tie Action
180000005,TakeAction,Take Action
180000006,IceCreamShop,Ice Cream Shop
180000007,OfferItemCondition,Offer Item Condition
180000008,BusinessFunction,Business Function
180000009,ReserveAction,Reserve Action
180000010,PreventionIndication,Prevention Indication
180000011,AutomotiveBusiness,Automotive Business
180000012,Joint,Joint
180000013,APIReference,API Reference
180000014,MedicalStudy,Medical Study
180000015,WantAction,Want Action
180000016,Physician,Physician
180000017,HousePainter,House Painter
180000018,PalliativeProcedure,Palliative Procedure
180000019,BookmarkAction,Bookmark Action
180000020,UnitPriceSpecification,Unit Price Specification
180000021,MarryAction,Marry Action
180000022,MedicalIntangible,Medical Intangible
180000023,SaleEvent,Sale Event
180000024,CivicStructure,Civic Structure
180000025,HardwareStore,Hardware Store
180000026,OpeningHoursSpecification,Opening Hours Specification
180000027,SportsClub,Sports Club
180000028,MedicalProcedure,Medical Procedure
180000029,BlogPosting,Blog Posting
180000030,SearchAction,Search Action
180000031,ComedyClub,Comedy Club
180000032,EventVenue,Event Venue
180000033,Recipe,Recipe
180000034,NightClub,Night Club
180000035,Ligament,Ligament
180000036,ElementarySchool,Elementary School
180000037,Campground,Campground
180000038,MovingCompany,Moving Company
180000039,CommentAction,Comment Action
180000040,BusinessEntityType,Business Entity Type
180000041,MediaObject,Media Object
180000042,Enumeration,Enumeration
180000043,Audience,Audience
180000044,State,State
180000045,LendAction,Lend Action
180000046,TVEpisode,TV Episode
180000047,DayOfWeek,Day of Week
180000048,AggregateOffer,Aggregate Offer
180000049,MedicalCause,Medical Cause
180000050,MedicalContraindication,Medical Contraindication
180000051,SingleFamilyResidence,Single Family Residence
180000052,StructuredValue,Structured Value
180000053,BusinessAudience,Business Audience
180000054,Waterfall,Waterfall
180000055,RadioSeason,Radio Season
180000056,WPSideBar,WP Side Bar
180000057,EntertainmentBusiness,Entertainment Business
180000058,UserComments,User Comments
180000059,TrainStation,Train Station
180000060,WPAdBlock,WP Ad Block
180000061,BefriendAction,Befriend Action
180000062,BarOrPub,Bar or Pub
180000063,DDxElement,D Dx Element
180000064,Reservoir,Reservoir
180000065,RadioEpisode,Radio Episode
180000066,ApartmentComplex,Apartment Complex
180000067,FastFoodRestaurant,Fast Food Restaurant
180000068,CheckOutAction,Check Out Action
180000069,AmusementPark,Amusement Park
180000070,Continent,Continent
180000071,Canal,Canal
180000072,Mountain,Mountain
180000073,EndorseAction,Endorse Action
180000074,GovernmentPermit,Government Permit
180000075,OnDemandEvent,On Demand Event
180000076,Book,Book
180000077,MedicalOrganization,Medical Organization
180000078,SellAction,Sell Action
180000079,ReplaceAction,Replace Action
180000080,DrawAction,Draw Action
180000081,Diet,Diet
180000082,HobbyShop,Hobby Shop
180000083,JobPosting,Job Posting
180000084,TradeAction,Trade Action
180000085,WatchAction,Watch Action
180000086,CreativeWork,Creative Work
180000087,TheaterEvent,Theater Event
180000088,ProfessionalService,Professional Service
180000089,MedicalRiskFactor,Medical Risk Factor
180000090,ServiceChannel,Service Channel
180000091,Person,Person
180000092,Mass,Mass
